cvlang,order,section,scale,skill,level,description,link
en,1,Programming,novice-expert,Python,5,,https://github.com/esdandreu/WakePi
en,1,Programming,novice-expert,C,3,Projects with Arduino,https://upvedues-my.sharepoint.com/:v:/g/personal/angibo2_upv_edu_es/ETrqmyQj6KNImlt3FanFGikBlCkNjppx5wb5KkzE0tn9Kw?e=OqgkY4k
en,1,Programming,novice-expert,Matlab,4,,https://es.mathworks.com/matlabcentral/fileexchange/66843-kinect-color-guided-robot-upv?s_tid=prof_contriblnk
en,1,Programming,novice-expert,Bash,2,,
en,1,Programming,novice-expert,git,4,,
en,1,Programming,novice-expert,Latex,3,This same CV has been programmed in Latex!,https://github.com/esdandreu/esdandreu/blob/main/cv/andreu-gimenez-bolinches.tex
en,1,Programming,novice-expert,Javascript,4,"Google Apps Script automations and React frontend with HTML and CSS",https://esdandreu.herokuapp.com/experience\#project-web
en,1,Programming,novice-expert,Mathematica,4,,https://upvedues-my.sharepoint.com/:u:/g/personal/angibo2_upv_edu_es/ETaWDNUyblxIqIkNyW4DvDcBsdFcUHXAwTgoXQZw0w33lQ?e=QgRHTe
en,1,Programming,novice-expert,VBA,1,,https://upvedues-my.sharepoint.com/:x:/g/personal/angibo2_upv_edu_es/EfTPtToGfh1CrKBstVgSwmEBwcJ7DpnxDUw-aj9cjhPmmw?e=2qtvFl
en,1,Programming,novice-expert,SQL,4,Worked with Python SQLAlchemy package and pure SQL,
en,2,Languages,beginner-native,English,4,"TOEFL 99 IBT, most degree courses in English, two semester exchange student, USA and Netherlands",https://upvedues-my.sharepoint.com/:b:/g/personal/angibo2_upv_edu_es/EfpKlOKvzn1GlsNVsejwsHMB-4n1z00U9Z1Rra9upJHNBg?e=f1LV5Z
en,2,Languages,beginner-native,Spanish,5,,
en,2,Languages,beginner-native,Catalonian,5,,
en,2,Languages,beginner-native,German,1,,
en,2,Languages,beginner-native,Italian,2,,
en,3,Engineering,novice-expert,CAD,4,Fusion 360; SolidWorks; NX,https://1drv.ms/b/s!AqZvnCxLmXx9getBJQlXX68lp_KZpA
en,3,Engineering,novice-expert,CAM,2,Fusion 360,https://upvedues-my.sharepoint.com/:v:/g/personal/angibo2_upv_edu_es/EdjN2F7wqulLhB52aju3Q_cBvuYI8B9KSRrEgAU7Ta_I_g?e=SFogxW
en,3,Engineering,novice-expert,CFD,3,Ansys Fluent; Star-CCM+,https://upvedues-my.sharepoint.com/:b:/g/personal/angibo2_upv_edu_es/EVhcbEOmw_FPo2JSqTHaVQsByceY1kdJl8uHM2W-14jOsA?e=JxOw3u
en,3,Engineering,novice-expert,FEM,2,Ansys Mechanical,
